"Account Number","Account Id","Status Code","Currency","Branch","Title","Client Id"
"20100175",2102896,"Open","GBP","UK","ACDESC 20100175",5030870
"20100167",2102897,"Open","GBP","UK","ACDESC 20100167",5030870
"20102615",4888684,"Open","GBP","UK",,5100876
"20102623",4888685,"Open","GBP","UK","eszymczak06*?",5100876
"20102631",4888686,"Open","GBP","UK",,5100876
"20102666",4888688,"Open","GBP","UK","eszymczak06]",5100876
"20102674",4888689,"Open","GBP","UK",,5100876
"20102682",4888690,"Open","GBP","UK","{!@#$ elwira",5100876
"20103239",5182163,"Open","GBP","UK","$$$$^*()q213    4678    $#$",5100876
"20103530",5525811,"Open - no transaction can be posted","GBP","UK","ACDESC 20103530",5005797
"20103689",5689361,"Open","GBP","UK","ACDESC 20103689",5104176
"20103751",5844815,"Open","GBP","UK","ACDESC 20103751",5104676
"20104448",6665576,"Open","GBP","UK","GMG Ltd main current account GBP",5107936
"20104472",6665767,"Open","GBP","UK","ACDESC 20104472",5107936
"20105134",7163074,"Open","GBP","UK","20143246",5100876
"20105436",7391192,"Open","GBP","UK","ACDESC 20105436",5175081
"20105444",7391426,"Open","GBP","UK","ACDESC 20105444",5175081
"20105517",7501929,"Open","GBP","UK","ACDESC 20105517",5104176
"20107358",9462085,"Open","GBP","UK","ACDESC 20107358",5119697
"20107366",9462086,"Open","GBP","UK","ACDESC 20107366",5119697
"20109180",13008542,"Open","GBP","UK","ACDESC 20109180",5011486
"20109695",13839237,"Open","GBP","UK","ACDESC 20109695",5146656
"20110219",15241255,"Open","GBP","UK","ACDESC 20110219",5133616
"20110871",16850957,"Open","GBP","UK","ACDESC 20110871",5119156
"20110928",16850958,"Open","GBP","UK","ACDESC 20110928",5119156
"20110952",16926334,"Open","GBP","UK","ACDESC 20110952",5119156
"20112203",18998240,"Open","GBP","UK","ACDESC 20112203",5175081
"20112211",18998241,"Open","GBP","UK","ACDESC 20112211",5175081
"20113897",22213050,"Open","GBP","UK","ACDESC 20113897",5129697
"20114311",22767311,"Open","GBP","UK","ACDESC 20114311",5146656
"20114354",22767313,"Open","GBP","UK","ACDESC 20114354",5146656
"20115245",24848645,"Open","GBP","UK","ACDESC 20115245",5153378
"20117337",30022060,"New account - this month","GBP","UK","ACDESC 20117337",5005797
"20120885",37435644,"Open - no transaction can be posted","GBP","UK","ACDESC 20120885",5161377
"20120915",37435645,"Open","GBP","UK","ACDESC 20120915",5161377
"20122071",40491550,"Open","GBP","UK","ACDESC 20122071",5005797
"20122136",40499152,"Open - no transaction can be posted","GBP","UK","ACDESC 20122136",5005797
"20122780",43272550,"Open","GBP","UK","ACDESC 20122780",5005797
"20123957",45830360,"Open","GBP","UK","ACDESC 20123957",5026820
"20125054",47820939,"Open","GBP","UK","GMG Label Ltd GBP",5107936
"20127596",53597706,"Open","GBP","UK","ACDESC 20127596",5167510
"20128738",56275427,"Open","GBP","UK","""eszymczak?",5100876
"20130600",62247311,"New account - this month","GBP","UK","ACDESC 20130600",5042689
"20130619",62257695,"New account - this month","GBP","UK","ACDESC 20130619",5005797
"20133847",69276304,"Open","GBP","UK","ACDESC 20133847",5172193
"20133863",69276305,"Open","GBP","UK","ACDESC 20133863",5172193
"20135548",74296667,"Open","GBP","UK","ACDESC 20135548",5173336
"20130880",81324651,"Open","GBP","UK","ACDESC 20130880",5133616
"20134711",81325174,"Open","GBP","UK","ACDESC 20134711",5052607
"20129475",81325469,"Open","GBP","UK","Corporate Deposit Account",5119156
"20137990",81325603,"New account - this month","GBP","UK","ACDESC 20137990",5052607
"20138059",81325606,"New account - this month","GBP","UK","ACDESC 20138059",5052607
"20133790",81325842,"Open","GBP","UK","ACDESC 20133790",5030870
"20134738",81325851,"Open","GBP","UK","ACDESC 20134738",5052607
"20138377",81425023,"Open - no transaction can be posted","GBP","UK","ACDESC 20138377",5119156
"20138806",81425082,"Open","GBP","UK","ACDESC 20138806",5173336
"20142064",81431615,"Open","GBP","UK","Current Account",5146656
